Timestamp,2) Are you the primary observer?,3) Photographic or physical evidence,4)  Duration -- How long did the phenomenon last?,5) Color and Brightness,6) Size/shape,"7) Smell, Sound, Heat",8) Behavior  /  path (free-verse),9) Weather conditions,10) Environment: Indoors or Outdoors?,11a) What is the approximate date and time of your observation?,DATE,11b) What is the precise date and (local) time of your observation?,12) What is the location of your observation?,Latitude,Longitude,Confidence,13) Permission to publish report,,RESERVED FOR ADDITIONAL COMMENTS BY RESEARCHERS
4/2/21 10:15,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,4 balls of bright white light,"Balls, large, about 150 feet off the ground",Sounded like 100 jet airplanes,"4 glowing white balls appeared in summer...merged into one giant ball, and shot over my head in form of bolt of lightening..",During a rain storm. Think it was summer...,Outdoors,"1980s, long time ago, but i will never forget what i saw.. ",,,Between the woods and quarterfield elementary school in severn md,39.13332371,-76.65514127,1,Show it to me before your publish it.,,
4/2/21 12:04,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,"Very bright ball, maybe softball size but seemed basketball sideburns went between spread legs. I was about 6 or 7 to.","Softball, seemed basketball size at time","No odor, no sound, no heat","I remember a very bright light, no sparks, and it did not change shape , oscillate. It rolled, slightly bounced down the hall for 15-20 ft. It went between my legs, and bounced up when hit the tiled bathroom floor. The ball went up to just below the ceiling and blew about an 1” diameter hole through plaster, concrete block, and the exterior stucco.",Thunderstorm passing through.,"Very rural, coastal Georgia, only power lines into the house. This occurred within the house. We may have had a tv antenna on roof. This occurred around mid 1950’s.",During the Summer sometime between 1955-1957,,,"1529 Valona Rd SE Valona, Ga 31.48 / -81.34",31.48009799,-81.34480299,0,Show it to me before your publish it.,,
4/2/21 15:15,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,swirling bright yellow,grapefruit then expanded breifly and was gone,electrical buzzing sound,"<1969/1970-ish> It was storming outside our old farm house one afternoon. Mom was out on an errand. She had told my two brothers and I to stay away from outlets and off the phone (landline) whenever there is a thunder storm, so we were standing in the middle of our living room. Suddenly a small ball of light came out of the wall outlet about 2-3 feet. It was swirling and grew to the size of a grapefruit for 8-15 seconds. Long enough for all three of us to turn and witness it. Then it expanded and was gone. I cannot remember if there was a thunder boom near that moment. We did have lightening come in the upstairs phone jack and leave a scorch mark up the wall (~12 inches). I can't remember if was during the same storm as the ball lightening.",Yes. It was very dark and gloomy in mid-afternoon.,Inside old farmhouse. Came out of an electrical outlet. Don't think it hurt the outlet. Normal power lines out at the paved road with line running to north side of house and distributing to multiple buildings.,Summer ~1969/1970 (before Mom and Dad remodled the farmhouse),,,"6760 Cemetery Road, Cass City, MI 48726",43.66808698,-83.17238896,0,You may publish my anonymized report,,
4/2/21 18:35,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),"It came in through one window then went out another, traveling at a brisk pace. I saw it for a moment only.","It was bluish white, about twice as bright as a fluorescent tube light.","It looked oblong to me from across the room, about eight feet away. My grandfather touched it. It ran right across his arm. He said it was perfectly round and the size of a half-dollar piece. I thought it looked a little biggerthan that, maybe three inches diameter. ","It was a very loud storm, and my grandfather was washing a dog in the sink, so if it did anything but glow we couldn't say. My grandfather said it felt soft, a little prickly, not hot.","It came in through the east window on the second story of our house during a sudden, violent thunderstorm one summer evening in the early 1980s. It flew about a foot into the room at a little better than waist height, then lit down onto the rangetop and rolled along pretty fast to the north end, where the  sink was. My grandfather was washing his little dog there, with the water off because the storm had blown up a minute ago. The dog tried to jump out of there, but Grandaddy held him firm, which was when the little ball of light rolled up on the dog's back. I saw that, then the whole corner of the kitchen lit up even brighter, almost blue. Then all the light went out except for one little dot at the north window on the other side of the sink. My grandfather said it ran over his hand where he had hold of that dog. It was cool, soft and weightless. The storm continued for maybe an hour, very violent, with some damage. There was no mark from the ball lightning though. ",During a violent summer thunderstorm,"Inside a three story suburban home, in the second story, northeast corner, next to a large southern magnolia tree",Early evening in late July or early August 1985,,,"1528 Ward Terrace, Portsmouth, Virginia, USA",36.84520602,-76.31773401,0,You may publish my anonymized report,,
4/2/21 22:25,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Blindingly bright white and blue ,8-10 inch sphere ,Buzzing and loud explosion ,It just hung there in the basement about 4 feet off the ground right in front of our gas meter and pipes then blinked out,It was thundering and lightning nearby and I suspect it struck the ground nearby ,Indoor basement halfway underground.  It hovered in the corner inches from our indoor natural gas meter.  It was about at the level of the ground outside and there is a full height window there,I’m not sure because it was years ago but it was later afternoon and probably summer ,,,"Brooklyn park, Maryland 21225",39.22001826,-76.61483845,1,You may publish my anonymized report,,
4/3/21 5:25,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,,"Sphere, size unknown. ",Silent. ,"Dad said there were three balls of light. They popped out of the sink (faucet or drain, I’m not sure) one at a time. They rolled in a line slowly across the room and disappeared one after the other into an electrical outlet. ","There was a storm, but that’s all I know. ","Dad’s experience was in the late 1940s or early 1950s. He was inside a large brick farmhouse about 3 miles east of Canton, PA, on Southside Road. The terrain is hilly, so the house was uphill from the road on the south side. (The hill continues on up behind the house, so it’s on the side of the hill, not the top.) On the north side there was a barn, basically level with or slightly lower than the road. The area is very rural, so there were no other buildings within at least a quarter mile, possibly more. The only power lines ran on low poles along the road out front, with a line connecting to the house. Thank you so much for the opportunity to share this story! Dad was a science teacher and so excited that he had personally experienced a phenomenon that many people didn’t believe existed. I wish he was here to fill in the details. He passed 20 years ago and it’s hard for me to remember everything he said. ",,,,,41.66094533,-76.79372326,2,You may publish my anonymized report,,"Email received 5/26/21 responding to thanks:  Thanks for your kind note! It’s nice to know my report reached you and I’m happy to help. I only wish Dad were still around to finesse the details. 

One important thing: My email address begins with ROSSLC, not rossic, as you have it in your salutation. Capital letters are not required, but they help you see the difference. (It’s an L for Laurie, not and upper case i. Not sure why, but this happens all the time!) Fortunately your response reached me, but I hope you will correct it in your records so no emails will be lost in the future. I’m hoping that you will someday share your conclusions! I’d love to read all about what you learned!

Thanks for doing this research. I hope you receive many fascinating stories. 

Sincerely,
Laurie Ross
"
4/3/21 10:31,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,very bright orange,size of a basketball,"I was inside, it was just outside a window. I didn't hear anything until it exploded.","I had been outside on my front porch to watch the storm. I was also saying an affirmation/incantation/prayer. When I was done, I turned and went back in the house. I closed the door which I've always been grateful for as I think that prevented it from ""following"" me. I moved to a window next to the door (the door is glass as well) and saw it hovering outside the window. My cat was in a chair in front of the window so we were both watching it. I was just so stunned I don't think I was thinking at all, just staring at it. Suddenly it exploded. It was a huge explosion. My cat flew off the chair and hid in the basement. I went outside fully expecting to find a smoking crater somewhere nearby. I looked all around my house, was relieved to find it intact. The neighbors were outside as well looking for the damage we felt certain we would find. It sounded like a huge bomb. Apparently a transformer on a phone pole was knocked out - at least I think that's what you call those boxes on phone poles. Anyway, we lost power for a bit and that was all.","There was a thunderstorm, I think it was fairly new or had recently started.",It occurred outdoors in a  residential neighborhood. An electric transformer was across the street with power lines across the street.,I think spring of 2000,,,Walla Walla Washington - 643 Pearson Street,46.07199598,-118.321802,0,You may publish my anonymized report,,
4/3/21 15:51,Yes,,30 seconds to a minute,White medium brightness,ball graefruite size or larger,"none of that, bad thunderstorm outside","it bounced through 2 rooms of my apartment,  fairly straight path. My cat saw it and went after it. I was scared, she wanted to get it. But it sort of bounced around then disappeared. This was close to 40 years ago.",Bad thunderstorm outside,"Suburb, summertime. Small ground floor apartment ","Approximately 37 years ago, mid afternoon,  summertime ",,,"Shiremanstown, PA",40.22304,-76.9552,2,Show it to me before your publish it.,,
4/4/21 14:10,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,"It was white with blue. It was 500 ft away. It moved in jagged path, 3-4 ft off the ground along a tree line. We noted ""trails"" of light behind. it. ",A soccer ball.,none,"It moved in a jagged path 3-4 ft off the ground, along a tree line, for about 15 feet, then vanished","It was spring. It was chilly, 45-55 F. It had been raining, but was at a pause.","It was suburban, but at a location with 5 acres of lawn, abutting a sharp drop into a forested river valley (Cleveland Metro Park, Rocky River Reservation). It moved along the tree line.",Spring 1980. ,,,"23261 Mastic road, North Olmsted, OH 44070",41.416802,-81.878679,0,You may publish my anonymized report,,
4/4/21 16:22,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),30 seconds to a minute,"It's been 30+ years since I saw ball lightening so my memory is fuzzy, but I recall thinking of them as ""fireballs"" so I think they must have been white, orange, yellow, but I recall seeing blue as well.",size of a basketball,"I was inside my car, pulled over to the side of the road with the windows up because it was raining so hard that I could not see to drive, so I did not notice a smell, and if they made a sound I did not hear it. They were floating up high near the tops of utility poles and I recall them floating silently.","I saw multiple fire balls randomly floating up high near the tops of utility poles. I feel like they were not fuzzy edged, but it's been 30+ years so I'm not certain.","It was either June or July 1988, and I was driving home from Falmouth, ME, to Windham, ME via Mountain Road up Blackstrap Hill in Falmouth after having gone to the gym. At the gym parking lot I could see the sky in the distance toward where I'd be driving was extremely dark. Clearly a thunderstorm was brewing, and the sky was the most ominous I'd seen when a thunderstorm gathering. I forgot where I was when the storm hit, but I was driving up Mountain Road when the hard rain caused the visibility to decline to the point where I to pull over to the side of the road and stop. I think I was about halfway up Mountain Rd on my way to Blackstrap Rd. As I sat there, waiting for the storm to subside, I saw several fireballs floating above me near the tops of utility poles. I had no idea what they were, but I wondered if was what lightening looked like when you were about to be struck by it. Several years later I met the head meteorologist of the National Weather Service office in Gray, ME, and described my experience to ask what I saw and he said I had observed a very rare phenomenon called ball lightning.","Outdoors, under power lines, by the side of Mountain Road in a rural neighborhood in Falmouth, ME, during a severe thunderstorm. It may have been near the intersection of Innkeeper's Lane or Bentridge Rd","June or early July, 1988, around 1pm.",,,"I was on Mountain Rd in Falmouth, ME. Near the intersection of eitherIt may have been near the intersection of either Innkeeper's Lane or Bentridge Rd ",,,,You may publish my anonymized report,,
4/5/21 9:46,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,Bluish and very bright,"Circular, and about the size of a grapefruit.","I couldn't smell anything, as I was watching through a closed window. As far as I could tell, it was silent, no heat noted.","We had a very active thunderstorm underway. There was a window facing west at the foot of my bed, and I was laying on the bed watching the storm. After a fairly close lightning strike (Off to the west in the ravine near the house.), I saw the ball drifting downwards. I can't say if it formed above or below the power lines, as the porch roof obstructed my view upwards. It drifted downwards till it was a few feet above the ground, moving slowly towards the north, and silently faded out as it got near the curb of Van Buren Street.",We were about midway through a very active thunderstorm.,"It was outdoors, moving from the south to the north under phone lines and a 7.2 kv street primary circuit.","I wish I could give an exact date and time, but this happened when I was about 10, and I'm 68 now. :-) It was late at night, though",,,"127 W. Van Buren Street in Ottawa, Illinois. The visible path was approximately 41.338582  188.841361 (beginning) to 41.338719 -88.841357 (end).",41.338719,-88.841357,0,You may publish my anonymized report,,
4/5/21 12:17,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),It came horizontally off the lake and slammed into the hill... few seconds?,"Bright sphere of light, unsure fifty years later of its color",volleyball-sized sphere,"Unknown. I was indoors, it whizzed past at eye level","Big thunderstorm at 147-acre Cedar Lake, Annandale, Wright County, MN, when I was a pre-teenager. I was looking out the window when this bright sphere (cantaloupe? volleyball? sized) whizzed at high speed horizontally off the lake and slammed into the hill behind our cabin. Its path was straight, as if shot out of a cannon. I recall few details except the overwhelming strangeness of the experience, and asking my mom WHAT WAS THAT THING, and her presuming it was ball lightning because of an experience her own mother had had in Kansas with ball lightning coming in their front door and exiting out back door. I do not recall whether we went out looking on hill for burned spot after storm concluded.","Thunderstorm happening, but do not recall where this event fell in the T-storm life span. Summertime (June July August) for sure; unknown temperature.","No power structures nearby. The ball came out of the south as if it had been shot from a cannon on the lake, whizzed between our cabin and the next door cabin several feet off ground, and struck the big hill behind the cabins at the north end of the lake. ","summer afternoon thunderstorm in June July or August, late 1960s",,,"North shore of Cedar Lake, Annandale, Wright County, MN -- the lot immediately west of (then) Geardink's Resort",,,,You may publish my anonymized report,,
4/5/21 15:37,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,"White, bright like a spotlight ",Round about the size of a basketball. ,Don’t remember any smell or sound,We were sleeping on the carpeted floor of my cousin’s house in Southern Illinois. It came out of the turned off TV on one side of the room and rolled over us and out through the opposite wall. We did not feel anything. There was no physical trace. ,"I don’t remember but Southern Illinois has some astonishing thunderstorms. The town, Steeleville, is also built over abandoned coal mine shafts according to my mom. ",Indoors ,"1977 or so, most likely in June-July at around 11:00 pm",,,"604 Crestview Drive, Steeleville IL 62288",38.00157598,-89.665313,0,You may publish my anonymized report,,
4/5/21 16:53,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,It was white blue and it was coming towards me I would say the brightness of a lighting that would be set up to take lifestyle photography,It was about the size of a tennis ball and it was consistently that size as it came towards me,I don’t remember smelling anything and I did have the car radio on at the time,I was driving and I was at a light and I saw it from a far coming straight towards me so much so I put my car in park and was about to jump out of my car it came right up into the windshield and then it just disappeared it took my breath away,It was during the day I was headed to work so maybe 7 AM I believe there was light out and sunlight out which freaked me out even more,Suburban area outside on the road they were powerlines I was waiting at the light,I believe it was spring but I do not recall a date I would say about 13 years ago,,,"352–354 Liberty St Little Ferry, NJ  07643 United States",40.85514513,-74.04207143,0,You may publish my anonymized report,,
4/6/21 9:43,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,white,,no smell detected,"I was sitting on my tricycle in the hallway, when I notice a while ball floating down the hallway over me.  I believe it enter through the back bedroom. It slowly floated above me  about 3 or 4 feet off the ground and exited  the front bay window.  ",humid and stormy. lots of lightening ,I recall that it had entered the house either through the back window or maybe even a electrical outlet just below the window,I believe it occurred in 1956 or 1957,,,"612 bryn mawr blvd  springfield, Ill",39.76858599,-89.64783002,0,You may publish my anonymized report,,
4/7/21 23:49,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,Same color and brightness as typical lightning,"Ball shaped, couldn't tell you how big it was as I saw it in the sky, but definitely spherical.",No,"I was in Plantation, Florida about ten years ago and driving at night. I stopped at a stop sign and noticed a storm cloud with quick flickering lightning. I think it was cloud-to-cloud lightning that night. I look, and I saw a ball of lightning come out of a cloud and move to the left at a slow pace until it disappeared. I knew it was ball lightning because of a documentary I saw from my childhood. I then pull over to where I was next to the stop sign astounded that I just witnessed a rare weather phenomenon.","Big storm clouds coming in from the ocean, no rain, cloud-to-cloud lightning, lightning flickering at a high rate. I cannot remember exactly, but i think I remember seeing lots of flickering, then the ball of lightning popped out of the cloud and the flickering paused while the ball lightning moved, and then the flickering resumed after it disappeared. ",Outdoors at cloud level. ,Summer time about ten years ago at around 7 to 9 pm ,,,"Plantation, Florida",26.12815,-80.24516,2,You may publish my anonymized report,,
4/8/21 20:07,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,"It was a pure white, like a 60 Watt 5000K lightbulb, not obviously warm or cool looking in its color.",A sphere (or at least round) somewhere between a grapefruit and a pomelo in size,"It was like a silent ghost, with no heat or scent or sound","It was late in the day, the sky was very dim and overcast, and it had been raining a while, and was still gently raining. I was sitting near the edge of the back patio and reading when a white light caught the corner of my eye, at about 8 feet in the air, about 10 feet from me outside in the drizzle, in the narrower (20ft) strip of grassy yard between houses. The ball of light was eery in its silent continuous movement, and I watched in awe as it ever-so-slowly sank in a very straight and vertical path towards the grass below. It took about 14 seconds to reach the ground, traveling at a perfectly constant pace, with a perfectly constant bright glow that never flickered, even as drops of rain must have passed through it. And when it had just barely touched the tips of the grass blades it quickly faded in brightness, while keeping its same size, as if absorbed into another dimension, or as if a flame were snuffed out through lack of air, and with nothing left to show that it had existed.","It rains half the year in Florida, so most likely it had thundered earlier, and then settled into a long late-afternoon/early-evening drizzle.","A house with a large yard in the Miami suburbs, with tall pine trees about 70 feet away, and power lines near the street about 150 feet away.","I was about 10 years old at the time, somewhere near 1974. I will guess that it was the summer rainy season, since it doesn't rain near as much in winter or spring.",,,"Miami FL, 25.712572, -80.331097. I got the coords from Google maps, and the pinned location is very close to where I saw the BL, within a foot or two. Keep in mind this was about 45 years ago, and the owners have changed, but the house and yard haven't changed that much.",25.712572,-80.331097,0,Show it to me before your publish it.,,
4/10/21 14:40,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,bright as a camera flash,grapefruit,,"About 13 years ago (springtime) my son called around 7:00 am to tell me there was a tornado watch/warning in my area, and he thought I should go to the basement.  A storm was kicking up; there were very dark clouds.  I live in a very old home, and the foundation is made of stone.  I went into the basement and faced the stone wall with a window.  All of a sudden I saw what looked like electricity ""snaking"" down the wall and then there was a loud snap/pop and a white flash like a camera about the size of a grapefruit a few feet in front of me. A nano second later incredibly loud thunder boomed.  I ran back upstairs figuring I'd take my chances with the tornado.

There were 2 other times in this house during intense storms that I witnessed the loud snap/pop and a white flash like a camera.  At least once there was a buzz.  Both times incredibly loud thunder sounded a nano second later.  These happened on the level above the basement and about the same distance from the stone wall.  These incidents were later in the day.  All 3 occurred in the last 16 years.

These experiences were so dramatic that I now have an automatic reflex response to lightening.  It makes me jump.  Prior I used to love thunderstorms.",A storm was brewing.  Dark clouds.  Early Spring.  There have not been all that many ,In my basement in a rural neighborhood.  There were tall trees outside the house about 25 ft. away on the side I was facing.  No evidence of anything being hit. Power lines on opposite side of the house from the side I was facing and about 45 feet away.  There was no power outage or electrical damage.,"Early spring approx. 13 years ago about 7 am.  Tornado warnings are not really common here, so maybe weather records would correlate.",,,"5593 Wool Mill Rd., Glenville, PA",39.75454102,-76.842661,0,Show it to me before your publish it.,,
4/15/21 20:08,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,"The lightning ball was iridescent , but the color was primarily pink. but it had all of the colors of the spectrum in it.",The size of a baseball maybe a little larger.,"No sound, smell or heat.","The ball was smooth and glass-like, and its path was serpentine, not moving in a straight line. It had a trail of the same colors. It was heading towards me from a ball field as I sat in my car near a stoplight. The ball went over my car and then I lost track of it.","Mostly sunny, but we had rain in the morning.","Outdoors, in a suburb near O'Hare Intl Airport. Near some power lines.","August 2019, 4:45 pm.",,8/2/19 16:45,"41°59'51.3""N 87°50'10.1""W",41.997583,-87.836139,0,You may publish my anonymized report,,
4/18/21 23:23,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),more than two minutes,The balls were green similar to firefly color and were like a bright flashlight,3-6 inches across,Heard a loud crashing sound in the woods prior to looking out window and seeing balls of light,"My mother and I saw this together. There were several green balls of light. They appeared near the back of our 8-acre woods and slowly moved closer and closer to our house until disappearing the last time just before reaching the house. A ball would appear and float above the ground for perhaps 5-10 seconds then disappear, then another would appear closer. They seemed to follow the established trail through the woods and floated a few feet above the ground.",We remember the moon shining into the trees and do not remember any storm. I think it was a clear night. It was the early or mid May. It was warm enough to have the windows open at night. It was 4-6 weeks before the first lightning bugs showed up that year. ,Outdoors. Rural area—8 acre woods surrounded by fallow fields. No power lines or towers.,"Early to mid May 1994, probably close to the full moon",,,"56533 Decatur Rd, Cassopolis, MI 49031",41.97620498,-85.97234302,0,You may publish it without the precise address publicly shown—town location is fine.,,
5/24/21 17:04,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,Very bright white-blue shining ball that moved at about 15 mph toward me in a circular form.It had ragged edges.,Size of a basketball,I don’t remember any sensation except the dazzling white.Although I may not have payed attention because it was a startling phenomenon.,"In Bradenton, Florida USA, (9th Ave West) in August 1981 there were violent afternoon thunderstorms like clockwork at 3:30 in the afternoon. I was in my apartment (Carmel Apartments) on the second floor that faced East when to my stunned observation this spinning round white bolt came silently through the closed Eastern sliding glass door. The rooms were in the shape of a “T”. The living room/dining room were bound by sliding glass doors on each side. The shortened upright of the “T” led to the front door with a window beside it. This phenomenon appeared suddenly inside. I did not see its approach. Upon observation I ascertained it as some sort of ungrounded lightening, so being afraid of being the conduit to it being grounded I backed up and flattened against the wall. I expected the ball to continue through to the dining room sliding door to exit but it seemed to be drawn towards me(which was frightening). It moved steadily toward me making its interior path an “L” instead of the straight line I expected and exited after passing very close but not touching in front of me at chest height. I didn’t feel it passing. Keeping its form, it passed through the closed front door South facing window. I was too stunned to watch it further.
     The apartment house was about 75 feet west from a utility pole upon which hung a (?) transformer box. My kids and I often observed “lightening” dancing along the wires during a storm. I thought this lightening had “escaped” from the wire.
     We lived about 1 mile East of large inlets of the Gulf of Mexico and 1/2 mile South of the Manatee River.
     It left no evidence, burning smell or damage...just a stunned and frightened observer.
     The apartments have apparently changed names because I couldn’t find them for an exact address.","Season, summer. I don’t remember if it was a lightening storm. Temperature was Florida summer and very humid.",Answered above. It did enter a building. Suburb environment. ,Approximated above,,,,,,,You may publish my anonymized report,,
6/9/21 21:15,,,400 (four hundred seconds),,,,"I've been trying to send photos and additional documentation to the address you listed in 3) above, but the two attempts, first with attachments and the second without, have both been undeliverable. I've asked my service provider to advise if it's a problem this end. Is there any reason of which you're aware that could be causing the failure to deliver my emails to you? On another matter: the second option of question 13) should be 'you', not ""your"".",,,,,,,,,,Show it to me before your publish it.,,
6/11/21 21:45,Yes,,400 (four hundred) seconds,,,,"Further to my advice in this format on 10 June (text copied at the end of this message), my service provider advises that your address at gmail is treating my additional information and photo attachment email as spam, whether it has the attachments or not. He is attempting to find out why. I suppose it could be something to do with my end, but if this is happening for other witnesses, they are unlikely to be as persistent as I am to provide you with the information, so you might be missing out on useful information. Brett Porter

From 10 June:
I've been trying to send photos and additional documentation to the address you listed in 3) above, but the two attempts, first with attachments and the second without, have both been undeliverable. I've asked my service provider to advise if it's a problem this end. Is there any reason of which you're aware that could be causing the failure to deliver my emails to you? On another matter: the second option of question 13) should be 'you', not ""your"".",,,,,,,,,,Show it to me before your publish it.,,
6/15/21 18:59,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Regular whitish lightning color,"It was too distant to tell, but stayed a consistent size circle.",Too far away to tell.,"The ball was stable, hovering somewhere in the clouds for a period of time. As it was bright it was difficult to determine its edges, and given that it was so long ago it's hard to remember totally. It existed as a ball shape for a number of seconds before 'exploding' into a number of lightning bolts that traveled cloud-cloud upward from its location. Not exactly the ball lightning you may be looking for, but also perhaps relevant?","Thunderstorm, presumably spring-summer.","Very rural area, outside during a thunderstorm. No significant overhead power, however the area was and is very good for big storms.","Somewhere between 1996-98, at night as a thunderstorm rolled in. I was young, so assume around 10pm.",,,"Greenwood, WI. GPS: 44° 46' 12.648'' N 90° 35' 59.1972'' W",44.77018,-90.599777,0,You may publish my anonymized report,,
6/29/21 13:04,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,A blue/white bright ball ,Basketball sized,Do not recall any smells or sounds,"I saw what I can only assume was light or lightning come in through 3 windows and form the ball in the middle of our living-room in front of my mom who was getting ready for work. At first I thought she was getting struck by lightning, but quickly realized the blueish/white ball was hovering about 3 feet between the two of us. Perhaps 3 to 4 feet off of the ground. Perfectly round and about the size of a basketball. After about 5 seconds of hovering in place, it disappeared. Later we found out that about the same time, our next door neighbor's back yard transformer was struck by lightning - taking out power for a few homes.",Severe thunderstorm,"Indoors, city, neighbor's transformer was struck by lightning at the same time of the event",It must have been in 1995 or 1996 during the summer,,,"Pine Hills, Florida - The Atriums subdivision off of Indiatlantic Ave & Pine Hills Rd",,,,Show it to me before your publish it.,,
7/10/21 4:56,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Whiteish blue hue. The brightness went up until it was gone. ,It was the size of a baseball,Sound was the most present. There was a crackling buzzing sound. And there could’ve been a slight smell. ,"I was having trouble sleeping. It was around 4:15 eastern and I had my eyes shut. I could feel hair on my face start to gravitate out but I was trying to sleep so I ignored it. Next I started hearing the buzzing crackling and then I started seeing light through my eyelids. I could feel the energy before I had opened my eyes and knew it was a round shape. it was like it was forming from the middle out going out from the middle top around and in through the bottom. I just remember it almost sounded like ripping/tearing from the middle out. I opened my eyes and there was a bright light in front of me, maybe 5 inches away from my face. It was a small fuzzy ball bright blue white getting brighter staying there same size then it was gone. It had also woke up my dog he was facing the other way so he didn’t see it but it woke him up and he definitely knew something was there. ",There was an off and on drizzle all day but not storming. Summer but it had been raining for the past few days. ,"I live in a suburb, no power lines nearby. It happened in my bedroom between where I was in bed and the wall my bed is up against ",,,7/10/21 4:15,Fairview ct grand island New York 14072 elevation 181 m latitude: 42.98264585119375 longitude: -78.96027221520622 ,42.98264585,-78.96027222,0,You may publish my anonymized report as long as it is shown to me and approved by me prior to being published,,
7/16/21 7:22,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Less than a second,"White, slightly light blue",2 ft,Not very loud crack of thunder. I was inside the house so could not smell or feel heat. ,Slightly ellipse shaped with rough edges,Thunderstorm. Storm didn’t last long,"Outdoors, rural neighborhood. ",,,7/1/21 15:25,"37.243535, -80.441190",37.243535,80.44119,,You may publish my anonymized report,,
7/16/21 12:41,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,Bluish white. About as bright as a cheap travel flashlight ,It was pretty high up so an exact size is difficult to estimate but it seemed to be about softball to bowling ball sized.,"Cold, bright, silent.",I was lying on a grassy lawn watching dry lightning.  Directly above me I saw a bluish white orb drift down through the cloud level.  It descended slowly from my vantage point almost straight towards me.  After about 15 seconds it popped like a soap bubble with a little flash.,June evening.  Completely overcast.  Dry lightning.  No rain.,Outside on a lawn at New Mexico Tech in Soccorro New Mexico.,June 2006 is the closest I can get.,,,On a lawn at New Mexico Tech in Socorro New Mexico.  ,,,,You may publish my anonymized report,,
7/16/21 17:16,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),one to two minutes,Dim glow,Size of a golf ball,Only visual,"It came either through the wall or window. It crawled down the wall as if it was being controlled like a toy electric car. It rolled across the floor towards me in a trajectory that made it pass in front of me, about 1ft from where I was standing. It then went vertically on a cable frame on which radio and telephone signals are conducted. What was unique about this is that the cable frame consisted of a number of vertical racks, and the ball went up and down each rack as if it was under control checking for something. When it descended the last vertical rack it followed the run of the cable beneath the floor and disappeared ","Fair conditions, clear skies, but known lightening area. Temperature was about in the 80's F",Indoors at a small radio/telephone exchange,"This was in the Summer of 1970 in the parish of St James in Jamaica, at a place called Kempshotsh of St James in Jamaica. It was ",,,"Kempshot, St James Jamaica",,,,Show it to me before your publish it.,,
